evaluation_area,metric,score
Retrieval,Recall@5,0.979
Retrieval,MRR@5,0.808
Retrieval,NDCG@5,0.831
Answer quality,Answer correctness,0.8
Answer quality,Mean question completeness,0.594
Answer quality,Gold-fact coverage,0.515
Grounding,Claim-level faithfulness,0.929
Grounding,Unsupported claim rate,0.071
Citations,Citation presence,0.733
Citations,Citations from retrieved context,1.0
Citations,Semantic citation precision,0.864
Citations,Supported-claim citation coverage,0.846
Out-of-KB,Out-of-KB abstention accuracy,1.0
